#,Ime in Priimek,Klub,Slog,
1,Amanda Koprivc Prosen,LK Mins Postojna,U15 PUNCE GOLI LOK,
2,Ksenija Prosen,LK Mins Postojna,ZENSKE GOLI LOK,
3,Alja Brejc,LK Šenčur,ZENSKE GOLI LOK,
4,Peter Vukotič Palček,LP Dwarf Archery,MOSKI DOLGI LOK,
5,Hilda Bassanese Puci,LP Dwarf Archery,ZENSKE TRADICIONALNI LOK,
6,Žiga Jenko,ŠLK Perun,MOSKI DOLGI LOK,
7,Miran Frece,Šentlok,MOSKI DOLGI LOK,
8,Uroš Sablatnik,ŠLK Perun,MOSKI DOLGI LOK,
9,Aleš Sablatnik,ŠLK Perun,MOSKI DOLGI LOK,
10,Bojan Mate Manenica,LK MINS Postojna,PRIMITIVNI LOK (CLANI-ce),
11,Aleks Berden,Šentlok,U15 FANTJE GOLI LOK,
12,Marko Strašnik,Šentlok,MOSKI GOLI LOK,
13,Hana Klovar,Šentlok,ZENSKE GOLI LOK,
14,Edvard Zatler,Šentlok,MOSKI GOLI LOK,
15,Bojan Božič,Šentlok,MOSKI DOLGI LOK,
16,Roman Tožbar,LS ZSČ Trbovlje,MOSKI GOLI LOK,
17,Marta Operčkal,Šentlok,ZENSKE GOLI LOK,
18,Slavko Operčkal,Šentlok,MOSKI GOLI LOK,
19,Žiga Kumer,ŠLK Perun,MOSKI DOLGI LOK,
20,Valerija Kumer,ŠLK Perun,ZENSKE DOLGI LOK,
21,Ajda Fidler,Šentlok,ZENSKE GOLI LOK,
22,Ožbej Aljančič,GLK Tržič,U15 FANTJE GOLI LOK,
23,Klavdija Blažek,BSC Pirksdorfersee,ZENSKE TRADICIONALNI LOK,
24,Aleksandra Kostanjevec,LK Budanje,ZENSKE DOLGI LOK,
25,Sašo Črešnjovnjak,LK Budanje,MOSKI DOLGI LOK,
26,Coleen Teverini,GLK Tržič,ZENSKE TRADICIONALNI LOK,
27,James Teverini,GLK Tržič,MOSKI TRADICIONALNI LOK,
28,Dunja Levstek,GLK Tržič,ZENSKE TRADICIONALNI LOK,
29,Damjan Koželj,VLR Vilijem,PRIMITIVNI LOK (CLANI-ce),
30,Robert Levstek,GLK Tržič,MOSKI DOLGI LOK,
